filename,class,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,zcr,f0_mean,energy
dysarthria_1.mp3,dysarthia,,-14.5168975383499,,,,,,,,,,,,0.0869983059682043,319.896967026773,0.519867239275065
dysarthria_10.mp3,dysarthia,,-14.1174899170364,,,,,,,,,,,,0.0689242832295349,267.450597008936,0.516914273351792
dysarthria_2.mp3,dysarthia,,-14.4261412504398,,,,,,,,,,,,0.0687365510684081,275.869472936015,0.632235827195807
dysarthria_3.mp3,dysarthia,,-16.2702332386089,,,,,,,,,,,,0.266114048193694,186.075949367089,0.476279111537218
dysarthria_4.mp3,dysarthia,,-14.4109996170588,,,,,,,,,,,,0.252790748577265,262.5,0.480393456187353
dysarthria_5.mp3,dysarthia,,-14.5855198997059,,,,,,,,,,,,0.281212367979469,408.333333333335,0.505707429088962
dysarthria_6.mp3,dysarthia,,-18.6333285816173,,,,,,,,,,,,0.336647188118949,277.35849056603,0.467482860651638
dysarthria_7.mp3,dysarthia,,-10.815156738584,,,,,,,,,,,,0.0939457722252399,370.588235294117,0.573343784869343
dysarthria_8.mp3,dysarthia,,-13.4430532504156,,,,,,,,,,,,0.0704705952169011,296.121987500333,0.525395280065605
dysarthria_9.mp3,dysarthia,,-14.4307167292568,,,,,,,,,,,,0.082390614712396,333.321346518832,0.537830674293743
